╠Ю╨е,и╚тС,╦Ы╣ы,гциЫ,нфюМ,фЙ╡©,╢╔╦п,╨ц╧о
1,гЮбл,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,╨ц
2,нз╨з,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,╨ц
3,нз╨з,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,╨ц
4,гЮбл,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,╨ц
5,гЁ╟в,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,╨ц
6,гЮбл,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМП╓,╨ц
7,нз╨з,итРИ,вгоЛ,ит╨Щ,ит╟╪,хМП╓,╨ц
8,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,с╡╩╛,╨ц
9,нз╨з,итРИ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,╩╣
10,гЮбл,с╡м╕,гЕ╢Ю,гЕнЗ,ф╫л╧,хМП╓,╩╣
11,гЁ╟в,с╡м╕,гЕ╢Ю,дё╨Щ,ф╫л╧,с╡╩╛,╩╣
12,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,хМП╓,╩╣
13,гЮбл,итРИ,вгоЛ,ит╨Щ,╟╪ощ,с╡╩╛,╩╣
14,гЁ╟в,итРИ,Ёацф,ит╨Щ,╟╪ощ,с╡╩╛,╩╣
15,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМП╓,╩╣
16,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,с╡╩╛,╩╣
17,гЮбл,РИкУ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,╩╣
